collection_id,name
115575,Star Trek: Alternate Reality Collection
86797,Arn collection
105324,Mirrors Collection
374418,The Mangler Collection
47391,Sleepaway Camp Collection
209739,MacGyver (TV Movies) Collection
85945,The Mesrine Collection
133352,Resident Evil: Biohazard
148055,Camp Rock Collection
170754,Arthur Collection
363015,Frosty the Snowman Collection
338416,Kirikou
106768,Tarzan (Animation) Collection
260586,Le Cœur des Hommes
123932,Quarantine Collection
135441,Road to Collection
14377,Death Wish Collection
89272,The Man From Snowy River Collection
386495,Fubar Collection
140612,Fullmetal Alchemist Collection
430201,Demons Collection
48037,Meatballs Collection
48190,Revenge of the Nerds Collection
14095,Barefoot Gen Collection
353721,You Got Served Collection
44976,Dhoom Series
85890,The Librarian Collection
254636,Maniac Cop Collection
123438,Loose Change Collection
230532,Marley & Me Collection
45355,Kevin Smith: Silent Bob Speaks!
20970,Sarkar Collection
70764,Largo Winch Collection
87256,Beverly Hills Chihuahua Collection
374386,Anglo-Zulu War Collection
264437,My Bloody Valentine Collection
57129,Rugrats Collection
286038,Dead Snow Collection
297371,Reeker Collection
129293,The Dick Proenneke Collection
21624,Golmaal Collection
328372,Mall Cop Collection
98435,Patlabor Collection
286904,Ultimate Avengers Collection
269190,The Ultimate Collection
243738,The Work and the Glory Collection
375228,The Condemned Collection
383632,A Man Called Horse Collection
129453,Eating Out Series
378268,Havoc Collection
96661,Afro Samurai Collection
70068,Ip Man Collection
376970,Cocaine Cowboys
458017,Tom and Jerry Collection
90348,Witch Mountain Collection
199141,Tenchi Muyô Collection
135468,G.I. Joe (Live-Action) Collection
110179,The Cutting Edge Collection
271668,Caballeros Collection
393564,McHale s Navy Collection
421904,Batman (DC Universe Animated) Collection
192174,Crows Collection
100415,Thumbs! Collection
417491,Bon Cop Bad Cop Collection
117777,Undisputed Collection
159613,Election Collection
210303,Rebuild of Evangelion
351230,Dream a Little Dream Collection
91588,OSS 117 Collection
263193,Charlotte s Web Collection
195646,Galaxy Express 999 Collection
32135,The Toxic Avenger Collection
92222,Breakin  Collection
475511,Steal This Film Collection
354210,Born Free Trilogy
145901,Lupin the Third Collection
168182,Philo & Clyde Collection
285879,Seed Collection
86553,Cold Prey Collection
403603,La Tour Infernale
24761,The Millennium Collection
206921,Star Wreck Collection
264339,The Hamiltons Collection
349889,Robot Jox Collection
410261,A Goofy Movie Collection
86346,Sabrina the Teenage Witch Collection
362554,Ex Collection
205672,Encounters of the Spooky Kind Collection
312735,Annie Collection
461937,"Sarah, Plain and Tall Collection"
227147,Tokyo Decadence series
289288,Per Fly trilogien (Samling)
221544,The Mummy (Universal Series)
48655,Deathstalker Collection
294519,The Shaggy Dog Collection
97156,Varg Veum Collection
264317,Bhoothnath Collection
137913,The Hunters Collection
102019,Death Note Collection
112537,Sällskapsresorna
206449,Jungledyret Hugo Collection
449750,Fanny Brice Collection
159600,House Party Collection
126166,The Delta Force Collection
187734,La Classe Américaine & Cie
413731,Nitro Collection
243598,The Best Man Collection
379475,Batman Beyond Collection
391040,Gone in 60 Seconds Trilogy
97919,The Love Comes Softly Collection
201061,War of the Worlds Collection
170416,God of Gamblers Collection
107725,Creepshow Collection
71458,3 Ninjas Collection
213697,Sex is Zero Collection
111751,Texas Chainsaw Massacre Collection
255702,The Rutles Collection
275873,Dr. Who Collection
106000,Beastmaster Collection
157626,The Comedians Of Comedy Collection
373918,Garfield (Animation) Collection
96887,Zatôichi: The Blind Swordsman
138968,The Gingerdead Man Collection
426370,The Wog Boy Collection
118474,Truth in 24 Collection
23616,Naruto Collection
350836,Dark Planet Collection
404770,Superman (DC Universe Animated) Collection
158376,Hanzo the Razor Collection
23497,Bleach (Collection)
221622,12 Rounds Collection
143588,Why Did I Get Married Collection
105629,Paradise Lost Collection
373538,Enter the Ninja Collection
405393,The Black Stallion Collection
353708,Kill Buljo Collection
448468,Grey Gardens Collection
442352,Brice Collection
478628,Sherlock Holmes (1939 series)
44724,Don Collection
123717,She Collection
409138,Yossi Collection
158643,Laid to Rest Collection
108043,Hamilton Collection
350402,Barney Collection
122945,The Legend Collection
94035,Anne of Green Gables Collection
129407,John Pinette Collection
147220,Valami Amerika gyűjtemény
456980,The Paleface Collection
132877,Painted Skin Collection
102128,Lone Wolf and Cub Collection
264481,Mega Shark Collection
87228,Swamp Thing Collection
446015,Golgo 13 Collection
116847,Dr. Phibes Collection
294468,Flubber Collection
182923,Tetsuo Collection
168186,Witchboard Collection
389867,Shark.Attack
308645,The Foreigner Collection
201778,Dorm Daze Collection
141448,Fuga de cerebros - Collection
447622,Barbie Mariposa Collection
59007,Bionicle Collection
417064,If You Are the One (Collection)
476063,Guinea Pig Collection
294918,Paranormal Investigations Collection
140758,Decoys Collection
96850,Evangelion Collection
44913,Ghoulies Collection
478947,Psy Collection
87232,The Apple Dumpling Gang Collection
44917,Swordsman Collection
89959,Mr. Moto Collection
205459,Fearless Hyena Collection
169740,The Haunting in Connecticut Collection
86119,The Hangover Collection
192167,The Bride with White Hair Collection
86780,Clash of the Titans Collection
160952,Caméra Café
443996,Ghost in the Shell: Stand Alone Complex
158373,The Lost Skeleton Collection
26863,Caprinos Eventyrlige Verden
172000,Vi hade i alla fall tur med vädret Collection
353754,Trilogía Sollima
330555,Ernest Collection
138965,The Mummy (Hammer Series)
100992,The Flicka Collection
65249,Tarzan (Johnny Weissmuller series)
215326,The Bad New Bears Collection
11140,Dr. Mabuse Collection
405256,Dolemite Collection
216395,Parent Trap Collection
421084,Disneys Große Pause
59009,08/15 Collection
115164,Hornblower Collection
114431,The Incredible Hulk (TV Movie) Collection
44722,Munna Bhai Collection
259256,Race Collection
256548,Father of Four Collection
141282,The Brave Little Toaster Collection
298778,1920 Collection
87096,Avatar Collection
397382,Epoch Collection
389978,"Hard Revenge, Milly Collection"
259363,Manuale d amore - Collezione
297299,Bullit & Riper Collection
107546,Puff Collection
401655,Welcome Collection
86066,Despicable Me Collection
142022,Hera Pheri Collection
142021,Dhamaal Collection
322650,Detonator Collection
39244,Digimon Collection
297252,Not Quite Human Collection
472781,Inoshika Ocho series
20725,Raaz Collection
97445,Air Bud Collection
143766,The Substitute Collection
423877,Turkish Star Wars
107462,Osobennosti Natsionalnoy ... - Collection
150954,My Friends Collection
114488,Moskva-Kassiopeya Collection
122776,Kvartet I Collection
23453,Tengen Toppa Gurren Lagann Collection
218293,Brother Collection
117693,Balto Collection
211075,Panda! Go Panda! Collección
24726,Johan Falk Collection
157671,The Decline of Western Civilization Collection
240690,Billy Jack Collection
424830,The Benji Collection
165369,The Collector Collection
39199,Detective Conan Collection
263106,Twitches Collection
189159,Project A Collection
101676,My Wife is a Gangster Collection
186102,Eddie and the Cruisers Collection
369380,If I Were You Collection
182371,Armitage III Collection
351228,Ski School Collection
161766,Gamera Films
363014,Like Mike Collection
325798,Star Crash Collection
205977,The Kingdom
298187,Lezioni di Cioccolato Collection
63170,Jönsson Gang
140126,Vabank (Collection)
169329,Göta kanal collection
53154,Inuyasha Collection
59235,Jesse Stone Collection
160468,The Frogtown Collection
144200,Swan Princess Series
113589,The Hire
458095,Super Giant Collection
177467,Cloudy with a Chance of Meatballs Collection
290933,Superman / Batman (Animated) Collection
220448,Mr. Wong Collection
147207,Glass Tiger collection
222634,Tooth Fairy Collection
313576,Hot Tub Time Machine Collection
438087,Topper Collection
124930,King of the Zombies Collection
23240,The Garden of Sinners
354066,The Nancy Drew Collection (Bonita Granville)
179042,Anja & Viktor Collection
158365,Why We Fight
415799,East Side Kids
179892,Kick-Ass Collection
396839,Robotech (Samling)
429234,Trilogia Zé do Caixão
432151,Daffy Duck Movie Collection
104842,Blue Collar Comedy Tour Collection
210006,Machete Collection
369005,Ten Minutes Older... (Collection)
167456,Our Man Flint Collection
257571,C.H.U.D. Collection
122489,Billa Collection
41437,Paranormal Activity Collection
251858,Brancaleone Collection
137766,Zapped Collection
142717,The Cremaster Cycle
394316,Johnny Tsunami Collection
24717,Johan Falk GSI Collection
221308,"Oh, God! Collection"
135501,976-EVIL Collection
98077,Der Bockerer Collection
378453,Henry Fool Collection
286948,Nemesis Collection
297143,Dexter Riley Collection
194752,Trilogie
421566,Totò Collection
39438,Emmanuelle Collection
86311,The Avengers Collection
123726,Quatermass (Hammer series)
480071,"Maria, ihm schmeckt s nicht!"
106784,Love in the City Collection
425164,Dragon Ball Z (Movie) Collection
103291,Subspecies Collection
112406,The Aum Shinrikyo Collection
315750,They Call Me Bruce Collection
212279,Piranha Collection
395556,The August Underground Collection
324703,Overheard Collection
136218,Night of the Demons Collection
17149,20th Century Boys Collection
38451,Charlie Chan (Warner Oland) Collection
138706,The Stepfather Collection
